,Price,Address,Property Type,Beds,Baths,Car,Inspection Time,Area,Agent,RE_URL,Suburb
154,,"56 Eynesbury View, Wollert",,3,2,2,,375m²,Mike Assaad,https://www.realestate.com.au/property-house-vic-wollert-146862944,Wollert
155,,"3 Suffern Street, Donnybrook",,4,2,2,Inspection tomorrow 6:00 pm,,Harry Banga,https://www.realestate.com.au/property-house-vic-donnybrook-146649800,Donnybrook
156,"$640,000 - $680,000","36 Samolus Street, Mickleham",,4,2,2,,,Mickey (Sween) Arya,https://www.realestate.com.au/property-house-vic-mickleham-146649164,Mickleham
157,"$600,000 - $660,000","67 Molesworth Crescent, Donnybrook",,4,2,2,Inspection tomorrow 6:00 pm,,Sharukh Shaik,https://www.realestate.com.au/property-house-vic-donnybrook-146649380,Donnybrook
158,,"10 Tatlow Drive, Epping",,3,2,2,Inspection Sat 25 Jan 10:00 am,542m²,Mario Tucci,https://www.realestate.com.au/property-house-vic-epping-147006448,Epping
159,,"12 Amfissa Street, Wollert",,4,2,2,,,Pir Sidhu,https://www.realestate.com.au/property-house-vic-wollert-146861748,Wollert
160,"$640,000 - $660,000","19 Cream Road, Donnybrook",,4,2,2,Inspection tomorrow 6:15 pm,,Love Sharma,https://www.realestate.com.au/property-house-vic-donnybrook-146648352,Donnybrook
161,"$595,000 - $650,000","65 Bovine Crescent, Donnybrook",,4,2,2,,,Vanny Bains,https://www.realestate.com.au/property-house-vic-donnybrook-146647292,Donnybrook
162,$590000 - $620000,"Address available on request, Kalkallo",,4,2,2,,,Robbie Sandhu,https://www.realestate.com.au/property-house-vic-kalkallo-142816984,Kalkallo
163,,"16/5 Linoak Avenue, Lalor",,3,2,2,Inspection Sat 25 Jan 2:00 pm,148m²,Tim Yu,https://www.realestate.com.au/property-house-vic-lalor-143583316,Lalor
164,"$529,000 - $569,000","45 Rosette Parade, Mickleham",,3,2,1,,,Pardeep Kumar,https://www.realestate.com.au/property-house-vic-mickleham-146768232,Mickleham
165,"$590,000 - $645,000","5 Grandstand Way, Wollert",,3,2,2,Inspection tomorrow 6:00 pm,,Garvit Mediratta,https://www.realestate.com.au/property-house-vic-wollert-147003684,Wollert
166,"$650,000 to $700,000","38 Ironwood Road, Mickleham",,4,2,2,Inspection tomorrow 5:15 pm,,Lana Trpkovski,https://www.realestate.com.au/property-house-vic-mickleham-146223616,Mickleham
167,"AUCTION $630,000 - $693,000","56 Sandover Drive, Roxburgh Park",,4,2,4,Inspection Sat 25 Jan 10:30 am,490m²,Rose Mickoska,https://www.realestate.com.au/property-house-vic-roxburgh+park-147002392,Roxburgh Park
168,,"21 Avisha Way, Greenvale",,5,4,2,,434m²,Moe Al-mnahi,https://www.realestate.com.au/property-house-vic-greenvale-146075928,Greenvale
169,,"76 Bovine Crescent, Donnybrook",,4,2,1,Inspection Sat 25 Jan 12:00 pm,,Waseem Gethya,https://www.realestate.com.au/property-house-vic-donnybrook-146075768,Donnybrook
170,"$480,000 - $510,000","7 Jaffa Street, Kalkallo",,3,2,2,Inspection Sat 25 Jan 11:30 am,275m²,Ameerul Zulfikar,https://www.realestate.com.au/property-house-vic-kalkallo-147000628,Kalkallo
171,"NOW TAKING OFFERS $615,000","6 Tynemouth Way, Donnybrook",,4,2,1,Inspection tomorrow 6:30 pm,263m²,Ali Faour,https://www.realestate.com.au/property-house-vic-donnybrook-146805904,Donnybrook
172,"$599,000-$658,900","12 Crossley Crescent, Coolaroo",,5,2,2,Inspection Sat 25 Jan 2:00 pm,613m²,Habib Kattoura,https://www.realestate.com.au/property-house-vic-coolaroo-146764576,Coolaroo
173,"$500,000-$550,000","26 Thomas Street, Airport West",,4,4,2,,186m²,John Matthews,https://www.realestate.com.au/property-house-vic-airport+west-145926988,Airport West
174,"($599,000) 11 Bracegirdle Dr Mickleham","Address available on request, Mickleham",,3,2,2,,,Pardeep Kumar,https://www.realestate.com.au/property-house-vic-mickleham-145433296,Mickleham
175,"ESR $600,000 - $660,000","27 Laxdale Grove, Mickleham",,4,2,2,Inspection Sat 25 Jan 12:00 pm,313m²,Aman Verma,https://www.realestate.com.au/property-house-vic-mickleham-146216492,Mickleham
176,,"1 to 12/61 Black Braes Boulevard, Mernda",,3,2,2,,,Param Singh,https://www.realestate.com.au/property-house-vic-mernda-144450344,Mernda
177,"$600,000 - $650,000","14 Clowes Street, Mickleham",,3,2,2,,,Paul Rametta,https://www.realestate.com.au/property-house-vic-mickleham-145432908,Mickleham
178,,"4 Selenium Street, Kalkallo",,4,2,2,Inspection Sat 25 Jan 1:00 pm,,Waseem Gethya,https://www.realestate.com.au/property-house-vic-kalkallo-146365436,Kalkallo
179,"$530,000 - $565,000","7 Solitude Lane, Doreen",,3,2,2,Inspection Sat 25 Jan 2:15 pm,384m²,Vanny Bains,https://www.realestate.com.au/property-house-vic-doreen-146215928,Doreen
180,"$630,000 to $660,000","18 Stonecutter Crescent, Wollert",,4,2,2,Inspection Sat 25 Jan 12:30 pm,,Mandeep Sekhon,https://www.realestate.com.au/property-house-vic-wollert-146365256,Wollert
181,,"22 Valetta Street, Mickleham",,3,2,2,,,Aayush Sharma,https://www.realestate.com.au/property-house-vic-mickleham-144581672,Mickleham
182,,"24 Zaatar Street, Mickleham",,4,2,2,Inspection Sat 25 Jan 1:30 pm,,Mohit Jain,https://www.realestate.com.au/property-house-vic-mickleham-146996328,Mickleham
183,,"19 Tindari Way, Wollert",,3,2,2,Inspection tomorrow 6:00 pm,,Gav Malhotra,https://www.realestate.com.au/property-house-vic-wollert-146995748,Wollert
184,"$590,000 - $620,000","22 Tivoli Way, Mickleham",,3,2,2,,,Wahid Baqi,https://www.realestate.com.au/property-house-vic-mickleham-145305196,Mickleham
185,,"Address available on request, Mickleham",,4,2,2,,,Abdul Sleman,https://www.realestate.com.au/property-house-vic-mickleham-142807272,Mickleham
186,"$630,000- $660,000","16 Mawson Street, Mickleham",,4,2,2,Inspection tomorrow 5:30 pm,,Ehab Chmaisse,https://www.realestate.com.au/property-house-vic-mickleham-145918500,Mickleham
187,"ESR  $550,000 - $580,000","130 Juscelina Drive, Craigieburn",,3,2,2,,231m²,Bal Singh,https://www.realestate.com.au/property-house-vic-craigieburn-146213500,Craigieburn
188,,"Address available on request, Donnybrook",,4,2,1,,,Sam Singh,https://www.realestate.com.au/property-house-vic-donnybrook-145055860,Donnybrook
189,,"5a Warnock Street, Broadmeadows",,3,2,2,,,Richard Ali,https://www.realestate.com.au/property-house-vic-broadmeadows-145922036,Broadmeadows
190,"$460,000 - $490,000","10 Millicent Drive, Craigieburn",,3,2,1,Inspection tomorrow 5:00 pm,,Romi Sleiman,https://www.realestate.com.au/property-house-vic-craigieburn-146992748,Craigieburn
191,"$530,000 - $550,000","41 Rosette Parade, Mickleham",,3,2,2,,,Adrian Prestileo,https://www.realestate.com.au/property-house-vic-mickleham-146895196,Mickleham
192,"($611,000 )   9 Dalgety St Mickleham !!","Address available on request, Mickleham",,4,2,1,,,Pardeep Kumar,https://www.realestate.com.au/property-house-vic-mickleham-145178376,Mickleham
193,,"2 Amfissa Street, Wollert",,4,2,2,,,Pir Sidhu,https://www.realestate.com.au/property-house-vic-wollert-146991180,Wollert
194,,"13 Englefield Street, Donnybrook",,4,2,2,,275m²,Carlos Misho,https://www.realestate.com.au/property-house-vic-donnybrook-146208528,Donnybrook
195,,"35 Fitzpatrick Circuit, Kalkallo",,3,2,1,,294m²,Mandeep Gagain,https://www.realestate.com.au/property-house-vic-kalkallo-145300068,Kalkallo
196,"ESR: $579,000 - $619,000","74 Arcturus Dr, Kalkallo",,4,2,1,Inspection Sat 25 Jan 11:45 am,,Carla Primiano,https://www.realestate.com.au/property-house-vic-kalkallo-146506780,Kalkallo
197,"$560,000-$600,000","15/38 Mallard Circuit, Craigieburn",,4,2,2,Inspection Sat 25 Jan 1:00 pm,,Nav Singh,https://www.realestate.com.au/property-house-vic-craigieburn-146988932,Craigieburn
198,,"9 Carignan street, Wollert",,4,2,1,,,Jayant Poonia,https://www.realestate.com.au/property-house-vic-wollert-146357480,Wollert
199,"$610,000 - $650,000","31 Viola Street, Donnybrook",,4,2,2,,,Karam Virk,https://www.realestate.com.au/property-house-vic-donnybrook-145917528,Donnybrook
200,"$650,000 - $670,000","59 Compass Crescent, Donnybrook",,4,2,2,Inspection Sat 25 Jan 10:00 am,,Andrew Chen,https://www.realestate.com.au/property-house-vic-donnybrook-146900980,Donnybrook
201,,"24 Ambrosia Close, Epping",,4,2,2,Inspection Sat 25 Jan 10:30 am,,Bimal Karki,https://www.realestate.com.au/property-house-vic-epping-146757388,Epping
202,,"14 Bittersweet Drive, Kalkallo",,4,2,2,,459m²,Nick Dinakis,https://www.realestate.com.au/property-house-vic-kalkallo-146707272,Kalkallo
203,"$620,000 - 650,000 FOR SALE","3 Braeburn Street, Doreen",,3,2,2,,350m²,Andrew Liang,https://www.realestate.com.au/property-house-vic-doreen-144688040,Doreen
204,"$600,000 - $619,000","18 Dewpond Crescent, Wollert",,3,2,2,Inspection tomorrow 5:45 pm,,Justin Sciola,https://www.realestate.com.au/property-house-vic-wollert-146505076,Wollert
205,,"9 Baker Crescent, Heidelberg Heights",,3,2,2,Inspection Sat 25 Jan 11:00 am,147m²,Larry Li,https://www.realestate.com.au/property-house-vic-heidelberg+heights-146202892,Heidelberg Heights
206,$490k - $520k - Auction Sat 8th February @ 11am,"7 Vautier Avenue, Mickleham",,3,2,1,Inspection Sat 25 Jan 11:00 am,272m²,Kuldeep Patel,https://www.realestate.com.au/property-house-vic-mickleham-146986328,Mickleham
207,"$530,000 - $580,000","5 Titchfield Road, Donnybrook",,3,2,2,Inspection Sat 25 Jan 9:30 am,267m²,Leon El Assaad,https://www.realestate.com.au/property-house-vic-donnybrook-146985160,Donnybrook
208,,"5 Cashmore Place, Roxburgh Park",,3,2,2,,,Evan Yousif,https://www.realestate.com.au/property-house-vic-roxburgh+park-146199008,Roxburgh Park
209,,"12 Marchmont Rise, Craigieburn",,4,2,2,,448m²,Sarwan Sandhu,https://www.realestate.com.au/property-house-vic-craigieburn-145171120,Craigieburn
210,,"6 Chorileana Way, Mickleham",,3,2,1,,,Harry Banga,https://www.realestate.com.au/property-house-vic-mickleham-144685028,Mickleham
211,"$499,000 - $539,000","271 Marathon Boulevard, Craigieburn",,3,2,2,Inspection Wed 29 Jan 5:15 pm,,Daniel Sacco,https://www.realestate.com.au/property-house-vic-craigieburn-146349700,Craigieburn
212,"SBSD: $650,000 - $700,000","18 Oliver Street, Doreen",,4,2,2,Inspection tomorrow 5:00 pm,369m²,Imogen Hammond,https://www.realestate.com.au/property-house-vic-doreen-146982280,Doreen
213,"ESR: $540,000 - $594,000","25 Vincent Drive, South Morang",,4,2,2,Inspection tomorrow 6:00 pm,243m²,Tony Ong,https://www.realestate.com.au/property-house-vic-south+morang-146982260,South Morang
214,"On Site Auction: $500,000 - $550,000","39 Nesting Vista, Craigieburn",,4,2,1,Inspection Sat 25 Jan 10:00 am,,Frankie Azzopardi,https://www.realestate.com.au/property-house-vic-craigieburn-146847684,Craigieburn
215,"$600,000 - $660,000","11 Girraween Crescent, Craigieburn",,5,2,2,Inspection tomorrow 5:00 pm,,Damien Crivelli,https://www.realestate.com.au/property-house-vic-craigieburn-146981712,Craigieburn
216,"$600,000 - $660,000","41 Cascade Terrace, Craigieburn",,4,2,2,Inspection tomorrow 6:00 pm,,Damien Crivelli,https://www.realestate.com.au/property-house-vic-craigieburn-146981700,Craigieburn
217,"$565,000 - $595,000","129A Hothlyn Drive, Craigieburn",,3,2,2,Inspection Sat 25 Jan 11:00 am,,Romi Sleiman,https://www.realestate.com.au/property-house-vic-craigieburn-146981688,Craigieburn
218,"$569,000 - $609,000","24 Bastings Avenue, Mickleham",,3,2,2,Inspection Sat 25 Jan 10:00 am,263m²,Jimmy Gill,https://www.realestate.com.au/property-house-vic-mickleham-146052044,Mickleham
219,"$580,000 - $620,000","12 Bancroft Street, Wollert",,3,2,1,Inspection Sat 25 Jan 9:15 am,,Romi Sleiman,https://www.realestate.com.au/property-house-vic-wollert-146980692,Wollert
220,$580000-$630000,"8 camphor street, Wollert",,3,2,2,Inspection tomorrow 6:30 pm,195.1m²,Ash Bansal,https://www.realestate.com.au/property-house-vic-wollert-146979476,Wollert
221,"$625,000","5 Turion Drive, Mickleham",,3,2,2,,,Pardeep Kumar,https://www.realestate.com.au/property-house-vic-mickleham-145290236,Mickleham
222,"$520,000 - $550,000","9 Village Walk, Mernda",,3,2,2,Inspection Sat 25 Jan 1:30 pm,,Steve Gruevski,https://www.realestate.com.au/property-house-vic-mernda-146978480,Mernda
223,,"152 Elevation Boulevard, Craigieburn",,3,2,1,,396m²,Chetan Chauhan,https://www.realestate.com.au/property-house-vic-craigieburn-140738183,Craigieburn
224,"$560,000 to $595,000","7 & 9 Portswood Drive, Donnybrook",,4,2,1,Inspection Sat 25 Jan 11:30 am,,Robbie Sandhu,https://www.realestate.com.au/property-house-vic-donnybrook-146346168,Donnybrook
225,,"24 Aniseed Street, Mickleham",,4,2,2,Inspection tomorrow 6:45 pm,365m²,Ryan Gaire,https://www.realestate.com.au/property-house-vic-mickleham-146496896,Mickleham
226,,"Address available on request, Donnybrook",,4,3,2,,346m²,Manu Kumar,https://www.realestate.com.au/property-house-vic-donnybrook-146496324,Donnybrook
227,"PRIVATE SALE $460,000 - $475,000","12 Viewbank Circuit, Roxburgh Park",,3,2,1,,221m²,Mohammed Mahfouz,https://www.realestate.com.au/property-house-vic-roxburgh+park-145909248,Roxburgh Park
228,$620k - $680k,"959 Pascoe Vale Road, Jacana",,5,2,4,Inspection tomorrow 6:15 pm,697m²,Jatin Mehta,https://www.realestate.com.au/property-house-vic-jacana-146976608,Jacana
229,,"27 Inkerman Crescent, Mickleham",,4,2,1,,295m²,Usman Naseer,https://www.realestate.com.au/property-house-vic-mickleham-138973715,Mickleham
230,"$620,000 - $660,000","14 Hurkett Street, Mickleham",,3,2,2,,312.5m²,Nav Sekhon,https://www.realestate.com.au/property-house-vic-mickleham-144677720,Mickleham
231,"$520,000 - $572,000","34 Gundagai Circuit, Kalkallo",,3,2,2,Inspection Sat 25 Jan 1:00 pm,262m²,Ron Singh,https://www.realestate.com.au/property-house-vic-kalkallo-146640828,Kalkallo
232,"$635,000","16 Sunlander Way, Doreen",,3,2,1,Inspection Sat 25 Jan 1:00 pm,320m²,Christian Marchetti,https://www.realestate.com.au/property-house-vic-doreen-146638760,Doreen
233,"$570,000-$600,000  OPEN 25 JAN 12:00Pm-12:30pm","37 Rathdowne Drive, Mickleham",,3,2,1,Inspection Sat 25 Jan 12:00 pm,,Amrit Aulakh,https://www.realestate.com.au/property-house-vic-mickleham-146185864,Mickleham
234,,"8 thyridia st, Craigieburn",,3,2,1,,,Jayant Poonia,https://www.realestate.com.au/property-house-vic-craigieburn-146339236,Craigieburn
235,,"3 Beldi Street, Wollert",,4,2,1,Inspection tomorrow 6:00 pm,,Dave Singh,https://www.realestate.com.au/property-house-vic-wollert-146971180,Wollert
236,,"10 Iceberg Drive, Mernda",,3,2,2,,358m²,Lars Latkoski,https://www.realestate.com.au/property-house-vic-mernda-146636412,Mernda
237,,"17 & 19 Hutch Avenue, Donnybrook",,4,2,2,,,Gee Mahna,https://www.realestate.com.au/property-house-vic-donnybrook-143689428,Donnybrook
238,"$600,000 - $650,000","17 Punchbowl Road, Kalkallo",,4,2,2,Inspection tomorrow 6:30 pm,,Dinesh Mann,https://www.realestate.com.au/property-house-vic-kalkallo-146486108,Kalkallo
239,,"10 Ashville Place, Craigieburn",,3,2,1,,337m²,Ricky Singh,https://www.realestate.com.au/property-house-vic-craigieburn-142905560,Craigieburn
240,"$635,000 - $660,000","21 Ovata Grove, Donnybrook",,4,2,2,Inspection Sat 25 Jan 10:15 am,,Karaline Sleiman,https://www.realestate.com.au/property-house-vic-donnybrook-146484348,Donnybrook
241,"$595,000 - $615,000","5 Finchley Way, Craigieburn",,3,2,1,,,Jay Alvat,https://www.realestate.com.au/property-house-vic-craigieburn-146967564,Craigieburn
242,"$585,000","Address available on request, Kalkallo",,4,2,2,,,Raj Kapoor,https://www.realestate.com.au/property-house-vic-kalkallo-144280964,Kalkallo
243,"$650,000 - $670,000","21 Boilersmith Street, Donnybrook",,4,2,2,,350m²,Johnny Ng,https://www.realestate.com.au/property-house-vic-donnybrook-146633300,Donnybrook
244,"Private Sale $630,000-$650,000","10 Caseys Way, Donnybrook",,4,2,2,Inspection Sat 25 Jan 10:15 am,294m²,Raman Arora,https://www.realestate.com.au/property-house-vic-donnybrook-146481532,Donnybrook
245,,"12 Cassette Street, Kalkallo",,3,2,2,,,Silky kaur,https://www.realestate.com.au/property-house-vic-kalkallo-146470688,Kalkallo
246,"$580,000 - $610,000","Address available on request, Donnybrook",,3,2,1,,,Nabin Pradhan,https://www.realestate.com.au/property-house-vic-donnybrook-146177052,Donnybrook
247,"$650,000 - $680,000","17 Beaconsfield Drive, Mickleham",,4,2,2,Inspection tomorrow 5:45 pm,,Sam Cagin,https://www.realestate.com.au/property-house-vic-mickleham-146326476,Mickleham
248,,"4 Glossodia Way, Mickleham",,4,4,2,,,Ali Alsalemy,https://www.realestate.com.au/property-house-vic-mickleham-146630304,Mickleham
249,,"16 Mumm Street, Wollert",,3,2,1,,,Asmita Kandel,https://www.realestate.com.au/property-house-vic-wollert-145276240,Wollert
250,"$599,000 - $658,000","33 Millicent Drive, Craigieburn",,4,2,2,Inspection Sat 25 Jan 11:00 am,401m²,Brian Mishra,https://www.realestate.com.au/property-house-vic-craigieburn-146964648,Craigieburn
251,"$490,000 - $520,000","44 Darwinia Drive, Mickleham",,3,2,1,,,Shayla Spiteri,https://www.realestate.com.au/property-house-vic-mickleham-146895220,Mickleham
252,"$630,000 - $670,000","14 Byron Street, Donnybrook",,4,2,2,Inspection Sat 25 Jan 11:30 am,,Jagjeet Tiwana,https://www.realestate.com.au/property-house-vic-donnybrook-146478076,Donnybrook
253,"$520,000 - $560,000","15 Grenville Terrace, Roxburgh Park",,3,2,2,,,Asad Khan,https://www.realestate.com.au/property-house-vic-roxburgh+park-146754068,Roxburgh Park
254,"$630,000 - $685,000","28 Rainham Avenue, Craigieburn",,3,2,1,Inspection Sat 25 Jan 11:15 am,,Karaline Sleiman,https://www.realestate.com.au/property-house-vic-craigieburn-146476080,Craigieburn
255,,"11 Callery Pear Street, Greenvale",,3,2,1,,320m²,Malek Younan,https://www.realestate.com.au/property-house-vic-greenvale-146962672,Greenvale
256,"$650,000 - $680,000","64 Rulinga Street, Donnybrook",,4,2,2,,,Dinesh Mann,https://www.realestate.com.au/property-house-vic-donnybrook-146753276,Donnybrook
257,,"3 Northampton Way, Donnybrook",,4,2,2,,,Sunil Gandham,https://www.realestate.com.au/property-house-vic-donnybrook-146752836,Donnybrook
258,$630K - $680K,"10 Midland Way, Craigieburn",,3,2,2,,448m²,Carlos Misho,https://www.realestate.com.au/property-house-vic-craigieburn-146960788,Craigieburn
259,"$539,000 - $569,000","42 Nasturium Street, Kalkallo",,3,2,1,Inspection tomorrow 5:30 pm,,Karan Kamboj,https://www.realestate.com.au/property-house-vic-kalkallo-146960384,Kalkallo
260,,"31 Huntingtower Avenue, Mickleham",,4,2,2,,,Moe Al-mnahi,https://www.realestate.com.au/property-house-vic-mickleham-146624284,Mickleham
261,,"3 Humboldt Street, Kalkallo",,4,2,1,Inspection Tue 28 Jan 6:00 pm,,Ola Alsalemy,https://www.realestate.com.au/property-house-vic-kalkallo-146168448,Kalkallo
262,"$580,000 - $610,000","10 Valonia Court, Craigieburn",,4,2,2,Inspection Sat 25 Jan 12:30 pm,653.1m²,Vinny Singh,https://www.realestate.com.au/property-house-vic-craigieburn-146958620,Craigieburn
263,"$630,000 - $660,000","9 Dargile Circuit, Epping",,4,2,2,Inspection Sat 25 Jan 1:00 pm,,Monty Sahni,https://www.realestate.com.au/property-house-vic-epping-146958284,Epping
264,"$645,000 - $695,000","322 The Lakes Boulevard, South Morang",,3,2,2,,309m²,Danny Al saad,https://www.realestate.com.au/property-house-vic-south+morang-146843272,South Morang
265,,"72 Rulingia Road, Donnybrook",,4,2,1,,,Ali Al Saffar,https://www.realestate.com.au/property-house-vic-donnybrook-146620632,Donnybrook
266,"$590,000-$610,000","554 Brookfield Boulevard, Mickleham",,4,2,2,Inspection Sat 25 Jan 12:00 pm,,Dario Haljeta,https://www.realestate.com.au/property-house-vic-mickleham-146956440,Mickleham
267,"$640,000 - $660,000","4 Jukes Mews, Donnybrook",,4,2,2,,294m²,Love Sharma,https://www.realestate.com.au/property-house-vic-donnybrook-144653764,Donnybrook
268,"$590,000 - $610,000","Address available on request, Donnybrook",,4,2,1,,244m²,,https://www.realestate.com.au/property-house-vic-donnybrook-146467352,Donnybrook
269,,"Address available on request, Mickleham",,4,2,2,,294m²,Moe Al-mnahi,https://www.realestate.com.au/property-house-vic-mickleham-143279424,Mickleham
270,,"24 Foreshore Drive, Donnybrook",,4,2,2,Inspection Sat 25 Jan 2:15 pm,,Ali Celik,https://www.realestate.com.au/property-house-vic-donnybrook-146956036,Donnybrook
271,"$650,000 - $665,000","10 Jum Way, Donnybrook",,4,2,2,Inspection tomorrow 7:15 pm,,Love Sharma,https://www.realestate.com.au/property-house-vic-donnybrook-146466788,Donnybrook
272,"ESR: $619,000 $649,000","16 Cilantro Street, Kalkallo",,4,2,2,Inspection Sat 25 Jan 11:00 am,312m²,Tarwinder Kullar,https://www.realestate.com.au/property-house-vic-kalkallo-146618760,Kalkallo
273,"$480,000-$510,000","37 Rowell Drive, Mernda",,3,2,2,Inspection Sat 25 Jan 11:30 am,,Jim Vasiliou,https://www.realestate.com.au/property-house-vic-mernda-146164108,Mernda
274,,"29 Maryland Road, Kalkallo",,4,3,2,,,Pir Sidhu,https://www.realestate.com.au/property-house-vic-kalkallo-146746720,Kalkallo
275,"$549,000","Lot 36357 Fillmore Drive, Craigieburn",,4,2,2,,162m²,Ethan Playnsek,https://www.realestate.com.au/property-house-vic-craigieburn-146954768,Craigieburn
276,,"Address available on request, Wollert",,4,2,1,,,Kiranvir Buttar,https://www.realestate.com.au/property-house-vic-wollert-141798344,Wollert
277,,"10 Mulholland Street, Kalkallo",,4,2,2,,294m²,Gaurika Kohli,https://www.realestate.com.au/property-house-vic-kalkallo-146746064,Kalkallo
278,"EOI - $565,000 - $595,000","66 Woodman Circuit, Wollert",,3,2,2,Inspection tomorrow 7:00 pm,231m²,Alex Doguluer,https://www.realestate.com.au/property-house-vic-wollert-146952604,Wollert
279,,"27 Corymbia Street, Mickleham",,4,2,2,,,Fadi Yousif,https://www.realestate.com.au/property-house-vic-mickleham-145639344,Mickleham
280,,"1 Jum Way, Donnybrook",,4,2,2,,333m²,Arvin Nagra,https://www.realestate.com.au/property-house-vic-donnybrook-146463740,Donnybrook
281,,"9 Currawong Street, Kalkallo",,4,2,2,Inspection tomorrow 5:45 pm,,Abeer Al-hatab,https://www.realestate.com.au/property-house-vic-kalkallo-146812256,Kalkallo
282,,"3 Eulinga Street, Mickleham",,4,2,2,,,Ali Al Saffar,https://www.realestate.com.au/property-house-vic-mickleham-146820720,Mickleham
283,"$600,000 - 660,000","14 Amfissa Street, Wollert",,4,2,2,Inspection tomorrow 5:45 pm,,Love Sharma,https://www.realestate.com.au/property-house-vic-wollert-146841488,Wollert
284,"$585,000 - $625,000","26 Brass Loop, Wollert",,3,2,1,,,Indy Singh,https://www.realestate.com.au/property-house-vic-wollert-146461660,Wollert
285,"Auction: $600,000 to $660,000","17 Taggiasca Drive, Wollert",,4,2,4,Inspection Sat 25 Jan 11:00 am,262m²,Kamal Kanaan,https://www.realestate.com.au/property-house-vic-wollert-146841052,Wollert
286,"$580,000-$620,000","14 Golden Pkwy, Donnybrook",,4,2,1,,253m²,,https://www.realestate.com.au/property-house-vic-donnybrook-146743444,Donnybrook
287,"$580,000 - $610,000","Address available on request, Greenvale",,3,2,1,,,Jessica Kaur,https://www.realestate.com.au/property-house-vic-greenvale-144906036,Greenvale
288,,"81 Gossia Avenue, Craigieburn",,3,2,1,,,Asad Khan,https://www.realestate.com.au/property-house-vic-craigieburn-145388796,Craigieburn
289,"640,000 - $680,000","10 Goldington Street, Mickleham",,4,2,2,,387m²,,https://www.realestate.com.au/property-house-vic-mickleham-145874616,Mickleham
290,,"198 Highlander Drive, Craigieburn",,3,2,2,,,Admon Paules,https://www.realestate.com.au/property-house-vic-craigieburn-146458932,Craigieburn
291,,"20 Sommerville Avenue, Mernda",,4,2,2,,,Bobby Kosuri,https://www.realestate.com.au/property-house-vic-mernda-146741524,Mernda
292,"$580,000 - $610,000","14 Serenade Street, Donnybrook",,3,2,1,,,Sunny Bawa,https://www.realestate.com.au/property-house-vic-donnybrook-145388064,Donnybrook
293,"ESR: $650,000 - $680,000","30 Guardian Street, Mickleham",,4,2,2,,,Mandeep Gaudia,https://www.realestate.com.au/property-house-vic-mickleham-145900352,Mickleham
294,"$570,000","26 Eremophila Circuit, Craigieburn",,3,2,2,Inspection Sat 25 Jan 9:30 am,212m²,Michael Chan,https://www.realestate.com.au/property-house-vic-craigieburn-146741028,Craigieburn
295,"$550,000 to $570,000","57 Bethnal Avenue, Wollert",,3,2,1,,,Jessica Kaur,https://www.realestate.com.au/property-house-vic-wollert-145631700,Wollert
296,,"13 Cherry Court, Meadow Heights",,4,2,2,Inspection Sat 25 Jan 12:00 pm,530m²,Nadir Jeboo,https://www.realestate.com.au/property-house-vic-meadow+heights-146608320,Meadow Heights
297,"$575,000 - $595,000","20 Leith Drive, Mernda",,3,2,2,Inspection Sat 25 Jan 1:25 pm,300m²,Mario Tucci,https://www.realestate.com.au/property-house-vic-mernda-146725612,Mernda
298,"Private Sale - Contact Agent | $550,000 - $580,000","35 Bowenia Avenue, Craigieburn",,3,2,1,Inspection Sat 25 Jan 1:00 pm,,Sammar Rana,https://www.realestate.com.au/property-house-vic-craigieburn-146896924,Craigieburn
299,"$600,000","Address available on request, Donnybrook",,4,3,2,,,Raj Kapoor,https://www.realestate.com.au/property-house-vic-donnybrook-143787084,Donnybrook
300,"ESR $650,000 - $700,000","10 Trainor Street, Doreen",,4,2,2,,440m²,Luke El Moussalli,https://www.realestate.com.au/property-house-vic-doreen-145765416,Doreen
301,"$650,000 - $695,000","25A Liston Avenue, Reservoir",,3,2,2,Inspection tomorrow 5:30 pm,,Isaac Katsouranis,https://www.realestate.com.au/property-house-vic-reservoir-146607224,Reservoir
302,,"5 Robin Road, Mickleham",,4,2,2,,,Harry Banga,https://www.realestate.com.au/property-house-vic-mickleham-146304004,Mickleham
303,"$629,900 - $664,900","30 Petersfield Way, Donnybrook",,4,2,2,Inspection Sat 25 Jan 11:00 am,,Mohit Jain,https://www.realestate.com.au/property-house-vic-donnybrook-146303764,Donnybrook
304,"$570,000 - $610,000","4 Saint Michel Place, South Morang",,3,2,2,,206m²,Rob Stefanovski,https://www.realestate.com.au/property-house-vic-south+morang-146836840,South Morang
305,,"22 Bracegirdle Drive, Mickleham",,4,3,4,Inspection tomorrow 7:00 pm,,Aayush Sharma,https://www.realestate.com.au/property-house-vic-mickleham-146736976,Mickleham
306,"$550,000 - $600,000","10 Turion Drive, Mickleham",,3,2,2,Inspection Sat 25 Jan 12:00 pm,,Daniel Di Battista,https://www.realestate.com.au/property-house-vic-mickleham-146881520,Mickleham
307,,"10 Nomad Road, Kalkallo",,4,2,2,Inspection tomorrow 6:30 pm,,Harry Banga,https://www.realestate.com.au/property-house-vic-kalkallo-146450536,Kalkallo
308,"$580,000 - $610,000","4 Mulholland Street, Kalkallo",,3,2,2,Inspection Sat 25 Jan 11:15 am,279m²,Usman Maan,https://www.realestate.com.au/property-house-vic-kalkallo-146668792,Kalkallo
